部件	WS2024编号	频率	用例
〾㇀	00001	29	䒒刁叼孑汈𠚻𠡅𠲚𡤼𢆵𢏻𣅬𥁂𥝔𥾌𧺖𨥂𨾆𩾗𪔸𪞐𬺴𭃊𮠗𰄚𰒺𰕳𰥋𱿘
⿱干䒑	00008	12	滏釜𠞑𣺨𦆇𦤐𩱉𪄇𪞪𬫻𰆨𱜄
⿱𠫔𫶧	00009	8	𡇗𣴑𥆆𩟜𭲭𮅛𮌫𮜱
⿰丨丿	00032	13	岿浉狮筛蛳𫚕𫢔𬡔𰓝𰰮𰰳𱟯𱷁
⿱䒑亅	00035	1	𥞉
⿰丰丰	00042	64	㨹㩨㬩㻰䎚䡺䨮䵻嘒嚖彗慧懳暳槥櫘熭篲蔧譿轊鏏𡣺𡲓𢄣𢅫𢑹𢜎𢟩𣊄𣍈𣓵𣮝𤑒𤑡𤪳𥜨𥣴𥶙𥶬𦄑𦇀𦒄𦢔𧁜𧟷𧯮𧯽𨯚𩏚𩏲𪔊𪬇𫐕𫗆𫣘𫪙𫳯𫴤𬁓𬤭𬭬𭦮𮔷
⿺乚⺀	00065	5	厯𠪱𬼫𭚒𱫣
⿱亠厶	00093	332	㐬㓍㛩㣃㤝㥔㧤㧧㬚㯙㲙㳘㳰㳿㵁㻙䋭䒆䖻䘪䘻䟲䟽俼充勶唷堉夣巯巰弃徹撤旈旒梳棄棛橀毓流淯澈焴珫琉瑬疏瞮硫統统育艈茺蓅蔬蘛蜟裗轍辙逳酼醯銃鋶錥鎏铳锍鯍麍𠃴𠆉𠉪𠋃𠋭𠒨𠒩𠔚𠖢𠗛𠘺𠞌𠡜𠡤𠭩𠴬𠺩𠾀𠾍𡇁𡊿𡍕𡎭𡏬𡐽𡝥𡡠𡧵𡫠𡽼𡿮𢂙𢏭𢏲𢑎𢕹𢛐𢬵𢮕𢯡𢽫𢾣𣊀𣏋𣑁𣓪𣕛𣙆𣚥𣟦𣣎𣨚𣨧𣩣𣪟𣫺𣰓𣰪𣹭𣹳𣻤𣼿𣽩𣽱𤀮𤀷𤁲𤆴𤉬𤗊𤚊𤚵𤞀𤢉𤥡𤪝𤭕𤰑𤰸𥀧𥅻𥆨𥇱𥒝𥜆𥟋𥧕𥬱𥮧𥰤𥴗𥶺𥹷𥹻𥺞𥽄𦀠𦁛𦅄𦈷𦎓𦔑𦔞𦚯𦚳𦜈𦝑𦠣𦠦𦣔𦧢𦯧𦱀𦺁𦺯𦼟𦾡𧀏𧚦𧛥𧤇𧨆𧨯𧰖𧶰𨁐𨁻𨂔𨅊𨇂𨌙𨌯𨏁𨏣𨓋𨓞𨓫𨕕𨛧𨛼𨜎𨟝𨠪𨡚𨣓𨧲𨬘𨬨𨭅𨭑𨻓𨼙𨿾𩋑𩍒𩏎𩒘𩓗𩙣𩛭𩩁𩩇𩩣𩯕𩱙𩱢𩱯𩱱𩷮𪁇𪃂𪎣𪎽𪑘𪗯𪞅𪟆𪠜𪠻𪡁𪮌𪹲𪺮𪽒𫆡𫆽𫇄𫌒𫎣𫒻𫓾𫙢𫝅𫫴𫸊𬄼𬈰𬉕𬉫𬓦𬔕𬖊𬗐𬛠𬞞𬪲𬫼𬬘𬻭𬾁𬿮𭁩𭐤𭒐𭗦𭜘𭦓𭪱𭮐𭯉𭰅𭱛𭲤𭴤𭶷𮆅𮋗𮋠𮌫𮏌𮑒𮗱𮗲𮙂𮧜𮫚𰋂𰒓𰕎𰝱𰮑𰿐𱁟𱋳𱍮𱎘𱔰𱘀𱪇𱯁𱯅𱵓𱶊𱷋𱸔𲀞𲃓𲌗
⿱亠公	00095	7	兖萒𠵷𡇰𦁙𧍄𪜣
⿱亠⿲刀丫𱍸	00097	121	㸄䄢䍤䐡䜞䭣䮺䶒䶓䶩儕劑嚌懠擠櫅濟璾癠穧纃臍艩薺虀蠐躋鑇隮霽韲鱭麡齊齋齌齍齎齏𠆈𠆗𠆜𠎗𠑠𡄡𡅁𡣙𡤴𡽉𢋿𢥖𢹓𣋠𤁜𤅈𤒱𥐌𥖭𦠃𦠕𦦏𦺅𧅠𧅱𧅴𧆌𧓉𧕚𧖊𧞓𧷔𧾙𨢞𨣧𨼻𨽘𩐐𩐓𩝦𩱳𩵃𩹵𪊆𪔉𪗅𪗆𪗇𪗈𪗉𪗊𪗋𪗌𪗍𪗎𪗏𪗐𪗑𪗒𪗓𪙔𪚎𪤪𫊖𫬬𫬵𬀛𬩣𬪜𬹲𬽒𭬹𭳯𮂧𮊞𮋡𮔰𮥱𮱲𰫕𱪏𱾿
