部件	UCV编号	频率	用例
⿱宀龶	4	2	𡩐𪧵
⿱宀王	4a	6	寚㝙𡖷𡨒𡬀𫳽
⿱𭃌廾	5b	1	𱧍
⿳穴人又	27a	8	䤇𠊯𠝠𣮯𥈃𥔉𨨿𠷃
⿱罒水	32	6	䍝𣎕𤸄𧎖𩹌𮬓
㇯褱衣	32	33	𬱐壞懷櫰瀤瓌耲蘹蘾褱㜳䃶𠐦𠘠𡃩𡅬𡾝𡾨𢸬𣀤𣀩𣩹𣩻𤜄𦏨𧞷𩟮𪊉𬵹𭶦𭿯𰯨𱊽
⿱⿰𫜹𫜹隹	34	1	𱽄
⿻⺆丄	66	4	𮘍𮕾𭠭𥸻
⿺⿻一由丶	68	2	𪺙𭤅
⿱龴田	69	3	𤱡𨓥𭴶
⿱爫罒	90	16	𤅥𤅪𤋠𤓡𤔴𤔵𦇌𨤊𩎋𩰥𪺆𬋷𬬝𭆲𱭇𲌥
⿱一夂	92a	13	𠡀𢕶𢾷𤟺𥖂𦤁𩎋𩝘𭐥𭐦𭪶𮈦𮞡
⿱一⿶凵由	95	1	㓰
⿵九丶	104	1	𢩾
⿻巾㸚	109	17	䕥𢐶𢺊𢺣𤁶𤂝𤕨𦆤𦇲𦘎𦹚𨗃𨯖𨲼𩍲𭛅𱀾
⿻巾𠈌	109	7	𢀪𫝃𭬡𭳓𮟞𮦆𰁙
⿺廴手	109b	2	𬂹𮡻
⿳目一八	110	22	倶𥶉𫓃𬄖𭁷𮂀𮥬𮥩𮜚𮜅𭭃𭬫𭫕𭗸𭔽𭔺𭌷𭌛𭌀𭁂𬿸𠺍
⿺𠃊𥃭	111	4	値悳𰽆𦋘
⿺𠃊⿱匕目	111	11	塡巓愼槇眞鎭顚鷆𥧑𱵳𰷻
⿱𥃭心	111	1	𢕞
⿱⿺𠃊𥃭八	112	1	𰽆
⿱㇯具八小	113	14	懸縣纛𠐴𡈴𡾥𣟠𥌭𥍙𦇨𧔤𪃷𪈉𱷜
⿱㐭且	116	2	𮗞𭛈
⿱面旦	116	2	𭐀𱌧
⿱文厂	133	4	彥產顏𪯨
⿸厂火	137	10	𠩔𤉺𫨈𰆟𨧴𱬧𮃃𭘛𭎑𬽻
